file,duration_sec
zaraki_line_001.mp3,2.5
zaraki_line_002.mp3,3.73
zaraki_line_003.mp3,2.11
zaraki_line_004.mp3,2.13
zaraki_line_005.mp3,0.89
zaraki_line_006.mp3,6.29
zaraki_line_007.mp3,1.41
zaraki_line_008.mp3,2.51
zaraki_line_009.mp3,1.32
zaraki_line_010.mp3,4.61
zaraki_line_011.mp3,13.34
zaraki_line_012.mp3,8.28
zaraki_line_013.mp3,3.3
zaraki_line_014.mp3,1.01
zaraki_line_015.mp3,2.36
zaraki_line_016.mp3,4.91
zaraki_line_017.mp3,3.2
zaraki_line_018.mp3,0.96
zaraki_line_019.mp3,2.0
zaraki_line_020.mp3,1.14
zaraki_line_021.mp3,5.72
zaraki_line_022.mp3,3.43
zaraki_line_023.mp3,1.25
zaraki_line_024.mp3,2.51
zaraki_line_025.mp3,2.29
zaraki_line_026.mp3,1.83
zaraki_line_027.mp3,1.8
zaraki_line_028.mp3,0.65
zaraki_line_029.mp3,4.39
zaraki_line_030.mp3,1.3
zaraki_line_031.mp3,6.84
zaraki_line_032.mp3,1.66
zaraki_line_033.mp3,1.37
zaraki_line_034.mp3,2.07
zaraki_line_035.mp3,0.95
zaraki_line_036.mp3,1.33
zaraki_line_037.mp3,2.73
zaraki_line_038.mp3,5.16
zaraki_line_039.mp3,6.36
zaraki_line_040.mp3,3.76
zaraki_line_041.mp3,2.13
zaraki_line_042.mp3,5.21
zaraki_line_043.mp3,9.41
zaraki_line_044.mp3,2.19
zaraki_line_045.mp3,10.35
zaraki_line_046.mp3,8.83
zaraki_line_047.mp3,1.49
zaraki_line_048.mp3,1.36
zaraki_line_049.mp3,3.47
zaraki_line_050.mp3,3.88
zaraki_line_051.mp3,0.94
zaraki_line_052.mp3,2.98
zaraki_line_053.mp3,0.36
zaraki_line_054.mp3,5.87
zaraki_line_055.mp3,1.5
zaraki_line_056.mp3,1.7
zaraki_line_057.mp3,2.87
zaraki_line_058.mp3,3.29
zaraki_line_059.mp3,0.93
zaraki_line_060.mp3,2.26
zaraki_line_061.mp3,10.74
zaraki_line_062.mp3,1.12
zaraki_line_063.mp3,3.56
zaraki_line_064.mp3,3.61
zaraki_line_065.mp3,1.54
zaraki_line_066.mp3,1.26
zaraki_line_067.mp3,4.67
zaraki_line_068.mp3,2.28
zaraki_line_069.mp3,5.27
zaraki_line_070.mp3,2.97
zaraki_line_071.mp3,4.48
zaraki_line_072.mp3,1.04
zaraki_line_073.mp3,6.12
zaraki_line_074.mp3,0.9
zaraki_line_075.mp3,0.66
zaraki_line_076.mp3,8.39
zaraki_line_077.mp3,0.23
zaraki_line_078.mp3,2.45
zaraki_line_079.mp3,1.54
zaraki_line_080.mp3,2.38
zaraki_line_081.mp3,4.51
zaraki_line_082.mp3,1.8
zaraki_line_083.mp3,2.64
zaraki_line_084.mp3,0.84
zaraki_line_085.mp3,9.36
zaraki_line_086.mp3,14.43
zaraki_line_087.mp3,1.15
zaraki_line_088.mp3,2.1
zaraki_line_089.mp3,1.43
zaraki_line_090.mp3,1.22
zaraki_line_091.mp3,0.32
zaraki_line_092.mp3,1.94
zaraki_line_093.mp3,2.21
zaraki_line_094.mp3,3.28
zaraki_line_095.mp3,3.05
zaraki_line_096.mp3,7.95
zaraki_line_097.mp3,2.61
zaraki_line_098.mp3,1.77
zaraki_line_099.mp3,1.91
zaraki_line_100.mp3,1.81
zaraki_line_101.mp3,2.18
zaraki_line_102.mp3,4.57
