num	dur_s	rms_db	peak_db	f0_hz	voiced	gaps	file
001	3.62	-12.9	-1.0	154	0.74	1	boruto_karma_001_0000.0s.mp3
002	2.79	-11.1	-0.6	142	0.90	0	boruto_karma_002_0005.7s.mp3
003	1.25	-17.6	-1.2	216	0.39	1	boruto_karma_003_0010.2s.mp3
004	3.93	-12.3	-0.8	180	0.77	1	boruto_karma_004_0011.7s.mp3
005	2.98	-11.1	-0.8	174	0.93	0	boruto_karma_005_0017.3s.mp3
006	2.94	-12.3	-0.9	158	0.85	0	boruto_karma_006_0022.0s.mp3
007	3.34	-12.5	-0.9	108	0.89	0	boruto_karma_007_0026.5s.mp3
008	2.92	-11.0	-0.7	151	0.86	0	boruto_karma_008_0031.4s.mp3
009	1.39	-12.2	-1.0	157	0.87	0	boruto_karma_009_0036.0s.mp3
010	1.82	-12.7	-0.9	112	0.73	1	boruto_karma_010_0037.9s.mp3
011	3.41	-10.3	-0.5	157	0.93	0	boruto_karma_011_0041.1s.mp3
012	3.57	-11.7	-0.6	165	0.90	0	boruto_karma_012_0046.1s.mp3
013	1.74	-12.9	-0.9	142	0.87	0	boruto_karma_013_0051.1s.mp3
014	1.77	-11.3	-0.6	167	0.81	1	boruto_karma_014_0053.4s.mp3
015	1.41	-12.5	-0.9	133	0.77	1	boruto_karma_015_0056.5s.mp3
016	2.73	-12.5	-0.8	113	0.87	1	boruto_karma_016_0058.4s.mp3
017	1.93	-11.8	-1.0	142	0.90	0	boruto_karma_017_0062.6s.mp3
018	1.97	-13.3	-1.0	144	0.88	0	boruto_karma_018_0065.0s.mp3
019	2.53	-11.8	-0.9	147	0.92	0	boruto_karma_019_0068.4s.mp3
020	2.70	-12.6	-0.9	143	0.84	0	boruto_karma_020_0072.5s.mp3
021	4.33	-13.1	-0.8	126	0.83	1	boruto_karma_021_0076.7s.mp3
022	3.21	-11.1	-0.9	145	0.95	0	boruto_karma_022_0082.4s.mp3
023	1.07	-11.9	-0.7	110	0.73	0	boruto_karma_023_0087.2s.mp3
024	2.56	-12.2	-0.7	152	0.92	0	boruto_karma_024_0088.7s.mp3
025	4.44	-13.5	-0.8	165	0.61	2	boruto_karma_025_0092.9s.mp3
026	1.52	-10.7	-0.8	106	0.83	0	boruto_karma_026_0098.8s.mp3
027	1.78	-11.9	-0.8	140	0.86	0	boruto_karma_027_0100.7s.mp3
028	2.11	-11.7	-1.0	132	0.83	0	boruto_karma_028_0103.9s.mp3
029	0.88	-14.3	-1.0	160	0.73	0	boruto_karma_029_0107.5s.mp3
030	1.52	-19.2	-1.2	158	0.44	1	boruto_karma_030_0109.8s.mp3
031	0.99	-13.3	-0.7	172	0.85	0	boruto_karma_031_0112.6s.mp3
032	0.84	-13.0	-1.0	114	0.68	1	boruto_karma_032_0115.0s.mp3
033	0.56	-16.2	-1.3	308	0.52	0	boruto_karma_033_0117.3s.mp3
034	0.88	-15.6	-0.9	320	0.60	1	boruto_karma_034_0119.2s.mp3
035	1.02	-12.6	-1.1	93	0.84	0	boruto_karma_035_0121.2s.mp3
036	1.08	-13.8	-1.0	127	0.78	0	boruto_karma_036_0123.9s.mp3
037	1.31	-13.2	-0.9	154	0.74	1	boruto_karma_037_0126.5s.mp3
038	1.33	-12.4	-0.9	246	0.87	0	boruto_karma_038_0129.3s.mp3
039	0.79	-15.5	-1.2	154	0.73	0	boruto_karma_039_0131.7s.mp3
040	1.36	-12.1	-0.2	308	0.87	0	boruto_karma_040_0133.7s.mp3
041	2.53	-12.8	-0.9	136	0.63	1	boruto_karma_041_0136.2s.mp3
042	1.42	-11.4	-0.9	137	0.92	0	boruto_karma_042_0139.3s.mp3
043	2.23	-12.9	-1.0	137	0.86	0	boruto_karma_043_0141.9s.mp3
044	1.98	-11.0	-0.7	114	0.86	0	boruto_karma_044_0144.6s.mp3
045	1.53	-12.7	-0.7	139	0.87	0	boruto_karma_045_0147.9s.mp3
046	2.29	-13.0	-0.8	152	0.82	0	boruto_karma_046_0149.7s.mp3
047	1.32	-13.6	-1.4	99	0.81	1	boruto_karma_047_0153.3s.mp3
048	3.14	-12.3	-0.7	127	0.84	2	boruto_karma_048_0155.2s.mp3
049	4.48	-11.5	-0.7	147	0.86	1	boruto_karma_049_0159.6s.mp3
