num	dur_s	rms_db	peak_db	f0_hz	voiced	gaps	file
001	3.70	-13.2	-1.0	291	0.83	0	boruto_main_001_0000.0s.mp3
002	8.04	-12.9	-0.9	286	0.79	0	boruto_main_002_0004.3s.mp3
003	0.76	-14.3	-1.2	294	0.82	0	boruto_main_003_0012.9s.mp3
004	6.39	-13.8	-1.2	291	0.75	2	boruto_main_004_0013.9s.mp3
005	7.87	-12.4	-1.1	281	0.82	2	boruto_main_005_0020.9s.mp3
006	2.56	-10.8	-0.9	242	0.86	0	boruto_main_006_0029.3s.mp3
007	4.24	-13.5	-1.2	291	0.80	1	boruto_main_007_0032.2s.mp3
008	6.72	-11.9	-1.0	267	0.89	0	boruto_main_008_0037.0s.mp3
009	5.22	-11.7	-1.1	250	0.90	0	boruto_main_009_0044.4s.mp3
010	2.41	-12.6	-1.2	305	0.92	0	boruto_main_010_0050.1s.mp3
011	0.91	-14.7	-1.5	224	0.85	0	boruto_main_011_0053.3s.mp3
012	7.42	-12.3	-1.0	242	0.74	0	boruto_main_012_0054.8s.mp3
013	4.63	-11.6	-1.1	291	0.78	1	boruto_main_013_0062.5s.mp3
014	7.44	-12.7	-1.1	276	0.71	1	boruto_main_014_0067.8s.mp3
015	1.77	-12.2	-1.3	288	0.78	1	boruto_main_015_0075.6s.mp3
016	2.11	-10.6	-1.1	296	0.90	0	boruto_main_016_0078.1s.mp3
017	6.15	-12.7	-1.0	281	0.84	1	boruto_main_017_0080.5s.mp3
018	3.27	-11.8	-1.0	278	0.81	0	boruto_main_018_0087.3s.mp3
019	8.86	-11.7	-0.6	276	0.78	2	boruto_main_019_0090.9s.mp3
020	1.97	-13.0	-1.3	308	0.75	1	boruto_main_020_0100.1s.mp3
021	2.68	-11.8	-1.1	299	0.72	2	boruto_main_021_0102.4s.mp3
022	5.19	-11.8	-1.1	258	0.79	1	boruto_main_022_0105.5s.mp3
023	3.03	-12.1	-0.8	291	0.85	0	boruto_main_023_0111.3s.mp3
024	3.82	-11.7	-1.2	296	0.85	0	boruto_main_024_0114.9s.mp3
025	3.69	-12.7	-1.2	276	0.72	2	boruto_main_025_0119.5s.mp3
026	1.86	-12.8	-1.2	296	0.72	1	boruto_main_026_0123.9s.mp3
027	1.73	-12.2	-1.2	296	0.91	0	boruto_main_027_0126.0s.mp3
028	10.87	-12.8	-1.2	291	0.69	4	boruto_main_028_0128.4s.mp3
029	4.72	-11.9	-1.2	225	0.83	1	boruto_main_029_0139.7s.mp3
