#file	dur	lang	prob	ja_text	en_gloss
hiruzen_line_01_0000.0s.mp3	3.98	ja	1.00	くらえ! 封印術チキフージン!	Take this, Chikifuji!
hiruzen_line_02_0004.6s.mp3	3.26	ja	1.00	終わりじゃ、行くぞ!ごとん!	This is the end! Let's go, Gotun!
hiruzen_line_03_0008.6s.mp3	1.89	ja	1.00	おいでんどんぬちゅつ	I don't give a damn!
hiruzen_line_04_0011.2s.mp3	6.09	ja	1.00	サン・ハッ・ショー・チェイ・カトン・コリュー・エンドン・コリュー・エンドン・シュリー・ケン	Sanha, Shochu, Kato, Koryuendom, Koryuendom, Shuriken
hiruzen_line_05_0017.7s.mp3	2.07	ja	1.00	公園分身 修理券	Kongen Bunshin Shuriken
hiruzen_line_06_0020.1s.mp3	4.44	ja	1.00	骨分身の術! 行くぞ! 他への力だ!	A true martial art! Let's go! It's the power of others!
hiruzen_line_07_0025.1s.mp3	3.40	ja	1.00	あとは任せたぞ! さすがですの!	I'll leave the rest to you! As expected of you!
hiruzen_line_08_0028.8s.mp3	6.21	ja	1.00	そう簡単に わしはやれん これが 差というものじゃ	I can't do it so easily. This is called a difference.
hiruzen_line_09_0036.1s.mp3	3.71	ja	1.00	承認するがよいぞ! おいたとはいえ!	I'm glad you're here. I'm glad you're here.
hiruzen_line_10_0041.1s.mp3	8.22	ja	1.00	穴取られては困る この歯がくれはわしが守る わしに叶うと思ってか	I'll be in trouble if you get caught. I'll protect you with this blade. Do you think you can defeat me?
hiruzen_line_11_0049.7s.mp3	2.89	ja	1.00	オロカナルカナオロチマル	Are you stupid? Are you stupid?
hiruzen_line_12_0054.0s.mp3	0.91	ja	1.00	お前は	You are...
hiruzen_line_13_0055.8s.mp3	3.71	ja	1.00	これで終わりじゃ 腕は染みれる	This is the end! My arm is going to die!
hiruzen_line_14_0060.1s.mp3	4.50	ja	1.00	この戦い、まだ終わらぬようじゃな!	This battle is not over yet!
hiruzen_line_15_0064.9s.mp3	2.47	ja	1.00	なんとも妙な相手よ	You're such a strange opponent.
hiruzen_line_16_0067.8s.mp3	0.49	ja	1.00	ドゥゥゥゥゥゥゥゥ!!	D'oh!
hiruzen_line_17_0069.1s.mp3	2.62	ja	1.00	これで道は開けたぞ!	Now the road is open!
hiruzen_line_18_0072.1s.mp3	0.64	ja	1.00	いいぞ!	Good!
hiruzen_line_19a_0073.6s.mp3	5.55	ja	1.00	勝負と参ろうぞ! このハマうところに火は燃える	Let's have a match! The fire burns in this place where it burns!
hiruzen_line_19b_0079.3s.mp3	6.48	ja	1.00	少し本気を出すかの 実力の差というものを教えてやろう	I'll teach you a little bit of the difference in strength.
hiruzen_line_19c_0086.0s.mp3	7.89	ja	1.00	わしにかなうと思うてか このはまうところに日はもゆる 過去も未来も	Do you think you can defeat me? The fire burns in this place. The past and the future too!
hiruzen_line_20_0094.5s.mp3	0.85	ja	1.00	すべては	All of it!
hiruzen_line_21_0095.9s.mp3	2.93	ja	1.00	おかげ日の石たちのために	For the sake of the people of Okaki-Hino
hiruzen_line_22_0099.1s.mp3	4.05	ja	1.00	火の一瞬は終わる限り負けはせん!	I won't lose to anyone but you!
hiruzen_line_23_0103.5s.mp3	40.64	ja	1.00	サンダイメホカゲの力を、アナドルでないぞ! サンダイメとして、その力を十分に発揮しようぞ! 実力の差というものを教えてやろう! だんぞ、その力はいたずらに恐怖を生み出すだけじゃ! ギラヒア、いかに年をとろうと、お前にはまだ負けぬ! 闇に染まったお前には、相応の処罰を下す! つなでよ!ホカゲの意志、お前に託したぞ! センダイに託されたホカゲの名!	Anadol isn't the power of the three-eyes. As the three-eyes, let's use that power sufficiently. I'll teach you the difference in strength. Danzo, that power is just to create fear. Girohia, how many years do you want to take? You can't lose yet. I'll give you the punishment for the darkness. I entrusted you with the will of the other. I entrusted you with the will of the other.
hiruzen_line_24_0144.4s.mp3	4.63	ja	1.00	ここで 怪我すわけにはいかぬ サトをしたい	I won't let you hurt me here! I want to be your friend!
hiruzen_line_25_0149.6s.mp3	6.99	ja	1.00	私を信じる者たちを守る その強き意志 実にはこれ	Protect those who believe in me! That strong will! This is the truth!
hiruzen_line_26_0157.2s.mp3	0.84	ja	1.00	次も	Next time, too!
hiruzen_line_27_0158.7s.mp3	8.07	ja	1.00	鍛えてやろうぞ! わしも初代様の 火の意志をついておる! 父親として	I'll kill you! I will follow the will of the First Lord! As your father...
hiruzen_line_28_0167.1s.mp3	6.07	ja	1.00	まだわしから教えられることが オリソウジョンのこうやって	It seems that there is still something I can teach you. Like this.
hiruzen_line_29_0173.6s.mp3	7.97	ja	1.00	風は変わってゆくものだ! オロチマルよ! 仙台様たちに鍛えられたわぞ!	The wind is going to change! I'm going to die! I'm going to be replaced by the ancestors!
hiruzen_line_30_0182.1s.mp3	0.80	ja	1.00	ここに!	Here!
hiruzen_line_31_0183.2s.mp3	4.93	ja	1.00	疲労をいたしますぞ! 強くなったな、このハマル!	I'll take care of you! You've become stronger, Hamaru!
hiruzen_line_32_0188.7s.mp3	0.79	ja	1.00	ジャンガー!	I'll kill you!
hiruzen_line_33_0190.1s.mp3	5.13	ja	1.00	わしにはまだお呼ばんぞ! 懐かしき手合わせ!	I still don't call you! I miss you so much!
hiruzen_line_34_0195.9s.mp3	1.02	ja	1.00	今回は!	This time!
hiruzen_line_35_0197.4s.mp3	12.64	ja	1.00	あっちをいただきますぞ! 人の石、里の石、幾千の思いをこの一千に欠ける過去も未来も	I will take that place! The will of the people, the will of the people! The past, the future, and the future that will lead to the feelings of many thousands!
hiruzen_line_36_0210.4s.mp3	1.03	ja	1.00	すべては	All of it!
hiruzen_line_37_0211.8s.mp3	9.64	ja	1.00	おかけ日の石たちのために 世界にはあだがすのなら 容赦はできぬ 邪魔はさせぬ	For the sake of the people of Wakage-Hinohi, if you want to attack the world, you can't do anything! I won't let you get in the way!
hiruzen_line_38_0222.2s.mp3	10.71	ja	1.00	ここでおとなしくしておれ! まさか、歯の遅った方を転生させると… 死者を苦労しよって…	Be quiet here! I can't believe it... I can't believe it... I can't believe it... I can't believe it...
hiruzen_line_39_0233.7s.mp3	4.13	ja	1.00	お気を持て遊ぶとろくなことにはならんぞ	It won't be easy to play with a weapon!
hiruzen_line_40_0238.2s.mp3	1.57	ja	1.00	すべてのことは…	Everything is...
hiruzen_line_41_0240.3s.mp3	2.80	ja	1.00	その終わりまで分からん!	I don't know until the end!
hiruzen_line_42_0243.5s.mp3	2.52	ja	1.00	この白雑誌か しかし	It's just a piece of cake, isn't it? But...
hiruzen_line_43_0246.7s.mp3	2.57	ja	1.00	そのままで動いていたとはな	You were moving that far, weren't you?
hiruzen_line_44_0250.1s.mp3	6.22	ja	1.00	俺もお前のはかりごとか こちらの手を読んだか 大切なもの	Is this also your job? Did you call me by this hand? It's important.
hiruzen_line_45_0257.4s.mp3	1.48	ja	1.00	そのすべてを	All of that...
hiruzen_line_46_0259.5s.mp3	3.18	ja	1.00	守ってみせる、このハッ	I'll protect you, you idiot!
hiruzen_line_47_0263.5s.mp3	1.57	ja	1.00	クズッシー	Kuzushi!
hiruzen_line_48_0265.6s.mp3	1.03	ja	1.00	ここに	Here!
hiruzen_line_49_0267.1s.mp3	3.18	ja	1.00	やぶれとりそろぼじゃ	Let's get rid of that bastard!
hiruzen_line_50_0271.1s.mp3	1.39	ja	1.00	オノデシ!	You bastard!
hiruzen_line_51_0273.6s.mp3	3.48	ja	1.00	おろちまろ! 手を振りほどくのなら	Morochimaru! If you're going to shake my hand...
hiruzen_line_52_0277.6s.mp3	3.71	ja	1.00	その叫びで目を覚まさせよ! 先のために!	Wake up with that scream! For the sake of the future!
