output	source	band_index	bands_in_source	width	height
l_ryuuzaki_bookshelf.png	l_ryuuzaki_bookshelf.png	1	1	851	56
l_ryuuzaki_gun_rocket.png	l_ryuuzaki_gun_rocket.png	1	1	479	58
l_ryuuzaki_idle_face.png	l_ryuuzaki_idle_face.png	1	1	362	57
l_ryuuzaki_kick_trail.png	l_ryuuzaki_kick_trail.png	1	1	507	78
l_ryuuzaki_knockdown.png	l_ryuuzaki_knockdown.png	1	1	1005	49
l_ryuuzaki_legend_key1.png	l_ryuuzaki_legend_key1.png	1	1	32	26
l_ryuuzaki_legend_key2.png	l_ryuuzaki_legend_key2.png	1	1	393	26
l_ryuuzaki_legend_key3.png	l_ryuuzaki_legend_key3.png	1	1	503	33
l_ryuuzaki_point.png	l_ryuuzaki_point.png	1	1	258	50
l_ryuuzaki_row_05.png	l_ryuuzaki_row_05.png	1	1	579	42
l_ryuuzaki_row_07.png	l_ryuuzaki_row_07.png	1	1	382	49
l_ryuuzaki_row_08.png	l_ryuuzaki_row_08.png	1	1	148	60
l_ryuuzaki_row_09.png	l_ryuuzaki_row_09.png	1	1	203	47
l_ryuuzaki_row_10.png	l_ryuuzaki_row_10.png	1	1	192	48
l_ryuuzaki_row_11.png	l_ryuuzaki_row_11.png	1	1	239	51
l_ryuuzaki_row_12.png	l_ryuuzaki_row_12.png	1	1	251	50
l_ryuuzaki_row_13.png	l_ryuuzaki_row_13.png	1	1	164	45
l_ryuuzaki_row_14.png	l_ryuuzaki_row_14.png	1	1	591	48
l_ryuuzaki_row_15.png	l_ryuuzaki_row_15.png	1	1	263	46
l_ryuuzaki_row_16.png	l_ryuuzaki_row_16.png	1	1	450	48
l_ryuuzaki_row_17.png	l_ryuuzaki_row_17.png	1	1	293	49
l_ryuuzaki_row_18.png	l_ryuuzaki_row_18.png	1	1	340	50
l_ryuuzaki_row_19.png	l_ryuuzaki_row_19.png	1	1	226	60
l_ryuuzaki_row_20.png	l_ryuuzaki_row_20.png	1	1	581	50
l_ryuuzaki_row_21.png	l_ryuuzaki_row_21.png	1	1	619	50
l_ryuuzaki_row_22.png	l_ryuuzaki_row_22.png	1	1	545	49
l_ryuuzaki_ryuk_monster_row1.png	l_ryuuzaki_ryuk_monster_row1.png	1	1	251	62
l_ryuuzaki_ryuk_monster_row2.png	l_ryuuzaki_ryuk_monster_row2.png	1	1	349	56
l_ryuuzaki_walk.png	l_ryuuzaki_walk.png	1	1	141	50
