num	dur_s	rms_db	f0_hz	voiced	gaps	file
001	1.31	-8.9	213	0.95	0	mayuri_line_001_0000.0s.mp3
002	3.59	-13.1	211	0.58	3	mayuri_line_002_0001.8s.mp3
003	1.92	-10.6	195	0.93	0	mayuri_line_003_0006.0s.mp3
004	1.85	-12.8	221	0.88	0	mayuri_line_004_0008.5s.mp3
005	9.26	-10.4	195	0.69	3	mayuri_line_005_0010.8s.mp3
006	1.11	-10.4	274	0.81	0	mayuri_line_006_0020.5s.mp3
007	1.44	-9.9	258	0.94	0	mayuri_line_007_0021.9s.mp3
008	0.82	-9.6	252	0.95	0	mayuri_line_008_0023.7s.mp3
009	2.93	-10.0	281	0.73	2	mayuri_line_009_0024.9s.mp3
010	0.70	-10.1	229	0.82	0	mayuri_line_010_0028.1s.mp3
011	11.11	-9.7	235	0.85	2	mayuri_line_011_0029.1s.mp3
012	2.79	-9.4	232	0.88	0	mayuri_line_012_0040.8s.mp3
013	1.62	-12.1	161	0.80	0	mayuri_line_013_0044.1s.mp3
014	2.70	-10.5	167	0.79	0	mayuri_line_014_0046.7s.mp3
015	3.93	-11.7	271	0.77	2	mayuri_line_015_0050.0s.mp3
016	2.27	-12.3	193	0.77	0	mayuri_line_016_0054.4s.mp3
017	2.92	-11.7	167	0.81	1	mayuri_line_017_0057.3s.mp3
018	1.59	-10.0	198	0.94	0	mayuri_line_018_0061.0s.mp3
019	3.42	-9.5	308	0.83	0	mayuri_line_019_0062.9s.mp3
020	1.20	-12.2	195	0.72	0	mayuri_line_020_0067.0s.mp3
021	1.71	-11.0	248	0.77	0	mayuri_line_021_0068.5s.mp3
022	2.80	-10.5	262	0.81	0	mayuri_line_022_0070.5s.mp3
023	3.31	-11.0	204	0.82	0	mayuri_line_023_0073.7s.mp3
024	5.88	-10.1	242	0.80	3	mayuri_line_024_0077.2s.mp3
025	2.51	-10.4	168	0.79	0	mayuri_line_025_0083.4s.mp3
026	1.42	-11.9	180	0.86	0	mayuri_line_026_0086.2s.mp3
027	1.58	-11.8	148	0.88	0	mayuri_line_027_0088.0s.mp3
028	0.66	-9.1	368	0.77	0	mayuri_line_028_0090.0s.mp3
029	7.66	-11.8	229	0.76	4	mayuri_line_029_0090.9s.mp3
030	4.18	-9.4	232	0.82	0	mayuri_line_030_0099.0s.mp3
