idx	file	lang	prob	ja	en
000	minatostorm_000_t00m00_0s.mp3	ja	1.00	行くぞ!ラセンガン!	Let's go, Rasengan!
001	minatostorm_001_t00m02_1s.mp3	ja	1.00	おー!一瞬で決める! はっはっ! よし!	Oh! I'll make it in an instant! Ha! Ha! Alright!
002	minatostorm_002_t00m05_6s.mp3	ja	1.00	いくよ!かかち!おびと! おぉぉぉぉぉぉぉぉぉ! いくよ! グッ!	Let's go, Takachi! Obito! Let's go!
003	minatostorm_003_t00m08_9s.mp3	ja	1.00	クシュラ! あれをやるしかない! 名付けて!	Damn it! I have no choice but to do that. I'll call it a day!
004	minatostorm_004_t00m11_3s.mp3	ja	1.00	嫌いしん!	Kiraishin!
005	minatostorm_005_t00m12_5s.mp3	ja	1.00	時空十分先行 連路弾 ゼロ式	Ziku Shippu Senkou, Ren No Dan, Zero Shiki!
006	minatostorm_006_t00m16_4s.mp3	ja	1.00	ないな、行くよ!	I don't have any. Let's go!
007	minatostorm_007_t00m18_1s.mp3	ja	1.00	ラセンガン、行くぞ!	Let's go, La Sengan!
008	minatostorm_008_t00m19_6s.mp3	ja	1.00	おかげの力だ!	It's the power of the shadow!
009	minatostorm_009_t00m21_8s.mp3	ja	1.00	あとはお願いします!ラセンガン!	I'm counting on you, Rasengan!
010	minatostorm_010_t00m24_4s.mp3	ja	1.00	はっ! ドゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥゥ!!	Huh? Ooooooh! Ding!
011	minatostorm_011_t00m26_1s.mp3	ja	1.00	もう少し積極的に攻めてくるべきだったね	You should have been a little more aggressive.
012	minatostorm_012_t00m29_6s.mp3	ja	1.00	問題ない	There's no problem!
013	minatostorm_013_t00m31_1s.mp3	ja	1.00	俺の勝ちだ!これが俺の…	I win! This is my...
014	minatostorm_014_t00m33_9s.mp3	ja	1.00	4代目ほかげの力だよ負けはしない	This is the fourth power of the Hokage. I won't lose.
015	minatostorm_015_t00m37_8s.mp3	ja	1.00	大切なものがある限り、俺を捉えることは	As long as there is an important thing, I will be able to capture it.
016	minatostorm_016_t00m41_0s.mp3	ja	1.00	誰にもできない	No one can do it.
017	minatostorm_017_t00m42_1s.mp3	ja	1.00	その程度では	That's about it.
018	minatostorm_018_t00m43_7s.mp3	ja	1.00	まだまだ俺には届かないようん	I still can't reach you. Yeah.
019	minatostorm_019_t00m46_8s.mp3	ja	1.00	これで終わりだ	This is the end
020	minatostorm_020_t00m48_4s.mp3	ja	1.00	いいよね	It's good, right?
021	minatostorm_021_t00m49_1s.mp3	ja	1.00	やるねー	I'll do it.
022	minatostorm_022_t00m50_6s.mp3	ja	1.00	だけど俺の価値だ大切なものがあるからね	But it's my victory. I have something important to tell you.
023	minatostorm_023_t00m54_0s.mp3	ja	1.00	俺は負けないよ!黄色い先行の遊園	I won't lose. The yellow flag of the amusement park.
024	minatostorm_024_t00m57_3s.mp3	ja	1.00	少しは分かったかい?	Did you understand a little?
025	minatostorm_025_t00m58_7s.mp3	ja	1.00	この勝利が未来につながる意味ある一生だと	This victory is the meaning of the future.
026	minatostorm_026_t01m02_6s.mp3	ja	1.00	俺は信じる	I believe
027	minatostorm_027_t01m03_5s.mp3	ja	1.00	その程度じゃ何もできない	I can't do anything at that level.
028	minatostorm_028_t01m05_9s.mp3	ja	1.00	もっと強くならないと	You have to be stronger.
029	minatostorm_029_t01m07_8s.mp3	ja	1.00	力も意志も	Power and will!
030	minatostorm_030_t01m09_0s.mp3	ja	1.00	争いの果てに平和があるのなら	If there is peace at the end of the conflict...
031	minatostorm_031_t01m12_1s.mp3	ja	1.00	俺は最後まで戦い抜いて見せるさ	I will show you that I will fight until the end.
032	minatostorm_032_t01m14_3s.mp3	ja	1.00	不協であっても	Even if it's unfair.
033	minatostorm_033_t01m15_9s.mp3	ja	1.00	何度も立ち上がったその意志	The will to stand up again and again.
034	minatostorm_034_t01m18_8s.mp3	ja	1.00	賞賛に値するよ	I'll give it to you
035	minatostorm_035_t01m20_6s.mp3	ja	1.00	愛はしない	I won't say it.
036	minatostorm_036_t01m22_2s.mp3	ja	1.00	この俺にも	This is for me too!
