#file	dur	lang	prob	ja_text	en_gloss
naoya_line_001.mp3	1.44	ja	1.00	ひどいなぁ	This is bad.
naoya_line_002.mp3	2.40	ja	1.00	人の心とかないんか?	Don't you have a human heart?
naoya_line_003.mp3	1.15	ja	1.00	ちょい待って	Hey, wait!
naoya_line_004.mp3	1.18	ja	1.00	右側タイヤで	On the right side of the tire.
naoya_line_005.mp3	1.85	ja	1.00	君、おっこつくんやろ?	You're going to get angry, aren't you?
naoya_line_006.mp3	0.63	ja	1.00		
naoya_line_007.mp3	1.59	ja	1.00	ふしゅうろが言ってた2年の	Fushiro has been here for 2 years!
naoya_line_008.mp3	1.41	ja	1.00	工場先生と同じ	Just like Koujo-sensei.
naoya_line_009.mp3	1.10	ja	1.00	特急術士!	Special skill!
naoya_line_010.mp3	0.86	ja	1.00	あなたを	You...
naoya_line_011.mp3	1.49	ja	1.00	ぜんいん、なおや!	They know ya!
naoya_line_012.mp3	1.54	ja	1.00	マーキちゃんの言いとこや	Where's Maki-chan?
naoya_line_013.mp3	2.43	ja	1.00	これが要案の恵みクイーンから	This is from Megumi-kun.
naoya_line_014.mp3	2.77	ja	1.00	ぶっちゃけ君は生者どうでもええね	You don't have to be a student.
naoya_line_015.mp3	2.09	ja	1.00	でもチョコマがされんのもありやし	But it's hard to leave it to Chocoma.
naoya_line_016.mp3	2.40	ja	1.00	とりあえず、足でもおっといたろうかな	Anyway, I wonder if it's still on my feet.
naoya_line_017.mp3	1.78	ja	1.00	シグロになるのよだよ	I feel like I'm going to die.
naoya_line_018.mp3	1.96	ja	1.00	死んでもらおうおもて	I want you to die.
naoya_line_019.mp3	3.24	ja	1.00	その前に一筆書いてくれると助かるねんけどなぁ	Before that, it would be helpful if you could write me a letter.
naoya_line_020.mp3	0.84	ja	1.00	めぐみくん	Thank you.
naoya_line_021.mp3	2.06	ja	1.00	君を探してるんやったり	I'm looking for you.
naoya_line_022.mp3	1.72	ja	1.00		
naoya_line_023.mp3	1.59	ja	1.00		
naoya_line_024.mp3	0.89	ja	1.00		
naoya_line_025.mp3	0.99	ja	1.00	へっ	Ha!
naoya_line_026.mp3	2.40	ja	1.00	爪が甘いんじゃ	My nails are too sweet.
naoya_line_027.mp3	2.12	ja	1.00	クソアマー!	Damn it!
naoya_line_028.mp3	1.02	ja	1.00	はっはっはっ	
naoya_line_029.mp3	1.36	ja	1.00		
naoya_line_030.mp3	1.04	ja	1.00		
naoya_line_031.mp3	0.78	ja	1.00		
naoya_line_032.mp3	0.60	ja	1.00		
naoya_line_033.mp3	1.12	ja	1.00		
naoya_line_034.mp3	0.89	ja	1.00		
naoya_line_035.mp3	0.52	ja	1.00		
naoya_line_036.mp3	2.30	ja	1.00	なんだよ	KENDAYA!
naoya_line_037.mp3	1.85	ja	1.00	重力が命令!	I can't afford to lose my power!
naoya_line_038.mp3	1.65	ja	1.00	とんぼかさっ	I'll kill you!
naoya_line_039.mp3	0.97	ja	1.00		
