file,decoded_dur_sec,manifest_bucket,tag  (quick_exertion|impact_pain|sustained_effort|roar|exhale_settle|unclear),notes(optional)
nezuko_grunt_001.mp3,1.18,medium,,
nezuko_grunt_002.mp3,0.63,short,,
nezuko_grunt_003.mp3,0.50,short,,
nezuko_grunt_004.mp3,0.83,medium,,
nezuko_grunt_005.mp3,0.46,short,,
nezuko_grunt_006.mp3,0.41,short,,
nezuko_grunt_007.mp3,0.52,short,,
nezuko_grunt_008.mp3,1.06,medium,,
nezuko_grunt_009.mp3,0.69,short,,
nezuko_grunt_010.mp3,0.80,medium,,
nezuko_grunt_011.mp3,1.09,medium,,
nezuko_grunt_012.mp3,1.00,medium,,
nezuko_grunt_013.mp3,0.73,medium,,
nezuko_grunt_014.mp3,0.68,short,,
nezuko_grunt_015.mp3,1.02,medium,,
nezuko_grunt_016.mp3,0.59,short,,
nezuko_grunt_017.mp3,0.60,short,,
nezuko_grunt_018.mp3,0.34,short,,
nezuko_grunt_019.mp3,0.48,short,,
nezuko_grunt_020.mp3,0.30,short,,
nezuko_grunt_021.mp3,2.22,long,,
nezuko_grunt_022.mp3,1.18,medium,,
nezuko_grunt_023.mp3,0.80,medium,,
nezuko_grunt_024.mp3,0.74,medium,,
nezuko_grunt_025.mp3,1.14,medium,,
nezuko_grunt_026.mp3,1.30,long,,
nezuko_grunt_027.mp3,1.31,long,,
nezuko_grunt_028.mp3,1.22,medium,,
nezuko_grunt_029.mp3,0.69,short,,
nezuko_grunt_030.mp3,0.78,medium,,
nezuko_grunt_031.mp3,0.45,short,,
nezuko_grunt_032.mp3,0.56,short,,
nezuko_grunt_033.mp3,0.68,short,,
nezuko_grunt_034.mp3,0.59,short,,
nezuko_grunt_035.mp3,0.57,short,,
nezuko_grunt_036.mp3,0.60,short,,
nezuko_grunt_037.mp3,0.82,medium,,
nezuko_grunt_038.mp3,0.87,medium,,
nezuko_grunt_039.mp3,2.16,long,,
nezuko_grunt_040.mp3,1.41,long,,
nezuko_grunt_041.mp3,0.66,short,,
nezuko_grunt_042.mp3,0.61,short,,
nezuko_grunt_043.mp3,0.81,medium,,
nezuko_grunt_044.mp3,1.56,long,,
nezuko_grunt_045.mp3,1.79,long,,
nezuko_grunt_046.mp3,0.84,medium,,
nezuko_grunt_047.mp3,0.97,medium,,
nezuko_grunt_048.mp3,0.93,medium,,
nezuko_grunt_049.mp3,0.59,short,,
nezuko_grunt_050.mp3,1.00,medium,,
nezuko_grunt_051.mp3,0.34,short,,
nezuko_grunt_052.mp3,1.67,long,,
nezuko_grunt_053.mp3,1.12,medium,,
nezuko_grunt_054.mp3,1.22,medium,,
nezuko_grunt_055.mp3,0.38,short,,
nezuko_grunt_056.mp3,0.47,short,,
nezuko_grunt_057.mp3,0.62,short,,
nezuko_grunt_058.mp3,1.29,long,,
