output	source	band_index	bands_in_source	width	height
p1_pain_chikushodo_combo.png	pain_sprites_p1_pain_chikushodo_combo.png	1	1	735	66
p1_pain_chikushodo_combo_2.png	pain_sprites_p1_pain_chikushodo_combo_2.png	1	1	720	64
p1_pain_chikushodo_damage.png	pain_sprites_p1_pain_chikushodo_damage.png	1	1	360	60
p1_pain_chikushodo_damage_2.png	pain_sprites_p1_pain_chikushodo_damage_2.png	1	1	400	64
p1_pain_chikushodo_down_attack.png	pain_sprites_p1_pain_chikushodo_down_attack.png	1	1	594	65
p1_pain_chikushodo_down_attack_2.png	pain_sprites_p1_pain_chikushodo_down_attack_2.png	1	1	547	64
p1_pain_chikushodo_jump_fall_crouch_throw.png	pain_sprites_p1_pain_chikushodo_jump_fall_crouch_throw.png	1	1	516	87
p1_pain_chikushodo_jump_fall_crouch_throw_2.png	pain_sprites_p1_pain_chikushodo_jump_fall_crouch_throw_2.png	1	1	506	63
p1_pain_chikushodo_pain_chikushddo_second_boay_portrait.png	pain_sprites_p1_pain_chikushodo_pain_chikushddo_second_boay_portrait.png	1	1	457	127
p1_pain_chikushodo_pain_chikushodo_portrait.png	pain_sprites_p1_pain_chikushodo_pain_chikushodo_portrait.png	1	1	179	150
p1_pain_chikushodo_row.png	pain_sprites_p1_pain_chikushodo_row.png	1	1	368	65
p1_pain_chikushodo_row_2_row_01.png	pain_sprites_p1_pain_chikushodo_row_2.png	1	2	410	16
p1_pain_chikushodo_row_2_row_02.png	pain_sprites_p1_pain_chikushodo_row_2.png	2	2	398	63
p1_pain_chikushodo_row_3.png	pain_sprites_p1_pain_chikushodo_row_3.png	1	1	364	60
p1_pain_chikushodo_run.png	pain_sprites_p1_pain_chikushodo_run.png	1	1	464	59
p1_pain_chikushodo_run_2.png	pain_sprites_p1_pain_chikushodo_run_2.png	1	1	349	51
p1_pain_chikushodo_run_attack.png	pain_sprites_p1_pain_chikushodo_run_attack.png	1	1	331	57
p1_pain_chikushodo_run_attack_2.png	pain_sprites_p1_pain_chikushodo_run_attack_2.png	1	1	325	58
p1_pain_chikushodo_special_attack_kuchiyose_no_jutsu_summoning.png	pain_sprites_p1_pain_chikushodo_special_attack_kuchiyose_no_jutsu_summoning.png	1	1	42	66
p1_pain_chikushodo_special_attack_kuchiyose_no_jutsu_summoning_2.png	pain_sprites_p1_pain_chikushodo_special_attack_kuchiyose_no_jutsu_summoning_2.png	1	1	30	63
p1_pain_chikushodo_stance_teleport_block.png	pain_sprites_p1_pain_chikushodo_stance_teleport_block.png	1	1	406	66
p1_pain_chikushodo_walk_chackra_charge.png	pain_sprites_p1_pain_chikushodo_walk_chackra_charge.png	1	1	441	68
p1_pain_chikushodo_walk_chackra_charge_2.png	pain_sprites_p1_pain_chikushodo_walk_chackra_charge_2.png	1	1	434	73
p1_pain_tendo_combo.png	pain_sprites_p1_pain_tendo_combo.png	1	1	705	65
p1_pain_tendo_damage.png	pain_sprites_p1_pain_tendo_damage.png	1	1	375	59
p1_pain_tendo_down_attack.png	pain_sprites_p1_pain_tendo_down_attack.png	1	1	538	63
p1_pain_tendo_example_row_01.png	pain_sprites_p1_pain_tendo_example.png	1	2	44	7
p1_pain_tendo_example_row_02.png	pain_sprites_p1_pain_tendo_example.png	2	2	141	80
p1_pain_tendo_intro_7.png	pain_sprites_p1_pain_tendo_intro_7.png	1	1	133	69
p1_pain_tendo_jump_fall_crouch_throw.png	pain_sprites_p1_pain_tendo_jump_fall_crouch_throw.png	1	1	566	65
p1_pain_tendo_row.png	pain_sprites_p1_pain_tendo_row.png	1	1	1707	467
p1_pain_tendo_row_2.png	pain_sprites_p1_pain_tendo_row_2.png	1	1	420	28
p1_pain_tendo_row_3.png	pain_sprites_p1_pain_tendo_row_3.png	1	1	360	69
p1_pain_tendo_row_4.png	pain_sprites_p1_pain_tendo_row_4.png	1	1	362	60
p1_pain_tendo_row_5.png	pain_sprites_p1_pain_tendo_row_5.png	1	1	702	25
p1_pain_tendo_row_6_row_01.png	pain_sprites_p1_pain_tendo_row_6.png	1	2	249	11
p1_pain_tendo_row_6_row_02.png	pain_sprites_p1_pain_tendo_row_6.png	2	2	866	88
p1_pain_tendo_row_7.png	pain_sprites_p1_pain_tendo_row_7.png	1	1	1404	184
p1_pain_tendo_row_8.png	pain_sprites_p1_pain_tendo_row_8.png	1	1	1366	188
p1_pain_tendo_run.png	pain_sprites_p1_pain_tendo_run.png	1	1	368	52
p1_pain_tendo_run_attack.png	pain_sprites_p1_pain_tendo_run_attack.png	1	1	325	57
p1_pain_tendo_special_attack_bansho_ten_in_example.png	pain_sprites_p1_pain_tendo_special_attack_bansho_ten_in_example.png	1	1	466	65
p1_pain_tendo_special_attack_chibaku_tensei_repeat.png	pain_sprites_p1_pain_tendo_special_attack_chibaku_tensei_repeat.png	1	1	397	65
p1_pain_tendo_special_attack_rinnegan_defense_destroy_ninjutsu.png	pain_sprites_p1_pain_tendo_special_attack_rinnegan_defense_destroy_ninjutsu.png	1	1	1033	82
p1_pain_tendo_special_attack_six_paths_of_pain.png	pain_sprites_p1_pain_tendo_special_attack_six_paths_of_pain.png	1	1	566	52
p1_pain_tendo_stance_teleport_block.png	pain_sprites_p1_pain_tendo_stance_teleport_block.png	1	1	362	68
p2_animal_2.png	pain_sprites_p2_animal_2.png	1	1	497	195
p2_animal_3_cloack.png	pain_sprites_p2_animal_3_cloack.png	1	1	1021	322
p2_animal_4.png	pain_sprites_p2_animal_4.png	1	1	636	133
p2_animal_5.png	pain_sprites_p2_animal_5.png	1	1	168	309
p2_animal_6.png	pain_sprites_p2_animal_6.png	1	1	1131	174
p2_animal_7.png	pain_sprites_p2_animal_7.png	1	1	887	189
p2_pain_gakido_combo.png	pain_sprites_p2_pain_gakido_combo.png	1	1	690	75
p2_pain_gakido_damage.png	pain_sprites_p2_pain_gakido_damage.png	1	1	384	74
p2_pain_gakido_down_attack.png	pain_sprites_p2_pain_gakido_down_attack.png	1	1	330	70
p2_pain_gakido_jump_fall_crouch_throw.png	pain_sprites_p2_pain_gakido_jump_fall_crouch_throw.png	1	1	610	73
p2_pain_gakido_pain_gakiao_portrait.png	pain_sprites_p2_pain_gakido_pain_gakiao_portrait.png	1	1	274	216
p2_pain_gakido_row.png	pain_sprites_p2_pain_gakido_row.png	1	1	396	91
p2_pain_gakido_run.png	pain_sprites_p2_pain_gakido_run.png	1	1	339	56
p2_pain_gakido_run_attack.png	pain_sprites_p2_pain_gakido_run_attack.png	1	1	285	67
p2_pain_gakido_special_attack_cnrackra_shield_crackra_absorption.png	pain_sprites_p2_pain_gakido_special_attack_cnrackra_shield_crackra_absorption.png	1	1	634	81
p2_pain_gakido_stance_teleport_block.png	pain_sprites_p2_pain_gakido_stance_teleport_block.png	1	1	455	73
p2_pain_gakido_walk_crackra_charge.png	pain_sprites_p2_pain_gakido_walk_crackra_charge.png	1	1	391	73
p2_pain_ningendo_combo.png	pain_sprites_p2_pain_ningendo_combo.png	1	1	709	65
p2_pain_ningendo_damage.png	pain_sprites_p2_pain_ningendo_damage.png	1	1	358	59
p2_pain_ningendo_down_attack.png	pain_sprites_p2_pain_ningendo_down_attack.png	1	1	556	62
p2_pain_ningendo_jump_fall_crouch_throw.png	pain_sprites_p2_pain_ningendo_jump_fall_crouch_throw.png	1	1	585	66
p2_pain_ningendo_pain_ningendao_portrait.png	pain_sprites_p2_pain_ningendo_pain_ningendao_portrait.png	1	1	251	276
p2_pain_ningendo_row.png	pain_sprites_p2_pain_ningendo_row.png	1	1	366	57
p2_pain_ningendo_run.png	pain_sprites_p2_pain_ningendo_run.png	1	1	365	48
p2_pain_ningendo_run_attack.png	pain_sprites_p2_pain_ningendo_run_attack.png	1	1	328	54
p2_pain_ningendo_special_attack_soul_absorption.png	pain_sprites_p2_pain_ningendo_special_attack_soul_absorption.png	1	1	539	67
p2_pain_ningendo_stance_teleport_block.png	pain_sprites_p2_pain_ningendo_stance_teleport_block.png	1	1	397	62
p2_pain_ningendo_walk_crackra_charge.png	pain_sprites_p2_pain_ningendo_walk_crackra_charge.png	1	1	361	66
p2_row.png	pain_sprites_p2_row.png	1	1	1179	93
p2_row_10.png	pain_sprites_p2_row_10.png	1	1	349	64
p2_row_11.png	pain_sprites_p2_row_11.png	1	1	342	66
p2_row_12.png	pain_sprites_p2_row_12.png	1	1	336	67
p2_row_13.png	pain_sprites_p2_row_13.png	1	1	582	160
