name	dur	rms	peak	crest	f0	voiced	gaps	intensity
yamamoto_line_053_0129.3s.mp3	0.26	-10.9	-0.1	10.8	330	0.62	0	0.61
yamamoto_line_084_0190.6s.mp3	0.26	-10.0	-0.2	9.8	97	0.88	0	0.74
yamamoto_line_119_0266.8s.mp3	0.26	-11.6	-0.3	11.3	129	0.79	0	0.68
yamamoto_line_131_0290.6s.mp3	0.29	-10.8	0.3	11.1	299	0.63	0	0.63
yamamoto_line_004_0009.6s.mp3	0.30	-10.1	0.4	10.6	193	0.93	0	0.79
yamamoto_line_028_0070.2s.mp3	0.30	-10.5	0.5	11.0	130	0.79	0	0.76
yamamoto_line_086_0194.5s.mp3	0.30	-10.8	0.6	11.4	165	0.86	0	0.67
yamamoto_line_062_0144.7s.mp3	0.31	-11.1	0.3	11.4	317	0.83	0	0.67
yamamoto_line_120_0267.5s.mp3	0.34	-10.2	0.5	10.7	333	0.81	0	0.70
yamamoto_line_146_0316.2s.mp3	0.34	-9.4	0.5	9.8	308	0.94	0	0.75
yamamoto_line_011_0028.4s.mp3	0.39	-9.5	0.1	9.6	128	0.86	0	0.83
yamamoto_line_101_0232.1s.mp3	0.48	-11.2	0.0	11.2	213	0.91	0	0.67
yamamoto_line_015_0036.2s.mp3	0.50	-10.7	-0.1	10.6	97	0.94	0	0.74
yamamoto_line_031_0075.8s.mp3	0.50	-9.7	-0.2	9.5	225	0.90	0	0.78
yamamoto_line_032_0076.6s.mp3	0.52	-15.9	-0.2	15.7	107	0.86	0	0.57
yamamoto_line_157_0348.6s.mp3	0.54	-13.1	0.0	13.1	124	0.83	0	0.54
yamamoto_line_110_0251.5s.mp3	0.56	-11.6	0.2	11.9	273	0.41	1	0.56
yamamoto_line_019_0049.8s.mp3	0.57	-9.9	0.3	10.2	344	0.93	0	0.82
yamamoto_line_081_0184.2s.mp3	0.59	-13.0	0.2	13.2	101	0.91	0	0.63
yamamoto_line_076_0175.6s.mp3	0.60	-13.9	-0.1	13.9	356	0.84	0	0.56
yamamoto_line_156_0347.5s.mp3	0.61	-12.8	-0.2	12.5	155	0.90	0	0.59
yamamoto_line_063_0145.4s.mp3	0.62	-12.8	0.1	12.9	103	0.93	0	0.69
yamamoto_line_144_0313.1s.mp3	0.63	-11.8	0.4	12.2	161	0.89	0	0.63
yamamoto_line_069_0155.1s.mp3	0.65	-10.5	0.4	10.9	203	0.90	0	0.78
yamamoto_line_154_0344.7s.mp3	0.72	-11.5	-0.0	11.5	115	0.73	0	0.64
yamamoto_line_041_0099.2s.mp3	0.74	-10.2	0.5	10.7	262	0.94	0	0.72
yamamoto_line_138_0301.7s.mp3	0.74	-14.2	-0.2	14.0	184	0.74	0	0.52
