idx	file	dur	tag	ja	en
000	zaraki_line_001.mp3	2.62	clean_single	話になんねーなぁ	What the hell are you talking about?
001	zaraki_line_002.mp3	3.90	merged_multi	殺し合いは最高だ! オラオラ!	Killings are the best! Here, here!
002	zaraki_line_003.mp3	2.28	clean_single	チェーンを取って敵を散れ!	Take the chain and cut off the iron!
003	zaraki_line_004.mp3	2.30	clean_single	おんちでこえい! なんだ!	Come at me! What is this?
004	zaraki_line_005.mp3	1.06	clean_single	こいつは!	This guy!
005	zaraki_line_006.mp3	6.46	merged_multi	この程度かよ くっせぇ ほらよ そら まだまだだな しまいか	This much? Damn it! See? See? It's not over yet. It's over.
006	zaraki_line_007.mp3	1.58	clean_single	すまんねーなー	I'm sorry.
007	zaraki_line_008.mp3	2.68	clean_single	生する力を手に入れたけ!	Give me the power to do justice!
008	zaraki_line_009.mp3	1.49	clean_single	やってみるか!	Let's do it!
009	zaraki_line_010.mp3	4.78	long_single(verify)	加減はなしだ! テメェなら外してよさそうだな	The key is gone! If it's you, you'd better get out of here.
010	zaraki_line_011.mp3	13.51	merged_multi	この gun 体をもっとで うん 久々の感覚だ グー うっうっうううううううううううううううううううううううううううううう 今までこいつに壊せてた文を	I feel it for the first time in a long time. I've been eating this for a long time.
011	zaraki_line_012.mp3	8.45	merged_multi	はー楽しませろ! トロトロしやがって! キュッキュー! 始めるぜ!	Ah, let's have fun! Let's have fun! Kyu! Kyu! Let's start!
012	zaraki_line_013.mp3	3.47	clean_single	えぇっ!久しぶりだ!こんな気分は!	It's been a while! How are you feeling?
013	zaraki_line_014.mp3	1.18	grunt(non-verbal)		
014	zaraki_line_015.mp3	2.53	clean_single	すべて、てめえにつぎこだ!	I'm going to kill you all!
015	zaraki_line_016.mp3	5.08	merged_multi	切るぜ! へっへっへ! そらよ! 最高だ!	I'll cut it! Hehehe, that's it! It's the best!
016	zaraki_line_017.mp3	3.37	clean_single	死ぬ覚悟はできたか?	Are you ready to die?
017	zaraki_line_018.mp3	1.13	clean_single	ほらー!	Hey!
018	zaraki_line_019.mp3	2.17	clean_single	だから緩めるなって言ったろ!	That's why I told you not to forgive me!
019	zaraki_line_020.mp3	1.31	clean_single	エアツヨ!	Thank you very much!
020	zaraki_line_021.mp3	5.89	merged_multi	ノロマが!すまんねーな! いいぞ!もっとだ! はっはっはっはっはっは!	I'm sorry, Norma. That's enough! Hahahaha!
021	zaraki_line_022.mp3	3.60	long_single(verify)	これで遠慮なくテメーとやれるってこった	I told you I'd do it without any hesitation!
022	zaraki_line_023.mp3	1.42	clean_single	アッカリさせんな!	Don't make me angry!
023	zaraki_line_024.mp3	2.68	clean_single	ケンテノは片手で売るより	The sword is to be sold with one hand.
024	zaraki_line_025.mp3	2.46	clean_single	もう一弁、やろうぜ!	One more time! Let's do it!
025	zaraki_line_026.mp3	2.00	clean_single	はっ たまんねーねー	I won't let you get away with it!
026	zaraki_line_027.mp3	1.97	clean_single	俺、全力で来い!	Come at me with all your might!
027	zaraki_line_028.mp3	0.82	clean_single	さあ!	Now!
028	zaraki_line_029.mp3	4.56	merged_multi	始めようぜ! あ、いいれやつだ! そう、気をうなよ	Let's get started! Ah, that's a good one! Don't be so nervous.
029	zaraki_line_030.mp3	1.47	clean_single	良さそうだ!	It looks good!
030	zaraki_line_031.mp3	7.01	merged_multi	いつ以来だ!こんな雇用館は! 今日ざめだ! いい反応だ! 叩くれ!	How long has it been like this? It's a joke. Good reaction! I'll beat you up!
031	zaraki_line_032.mp3	1.83	clean_single	11番隊隊長	11th squad leader
